MARKER NAME,MARKER DESCRIPTION,HYPERLINK,GEOMETRY
"Chellis ""Mike"" Chambers","Historical Marker erected by Pi Kappa Alpha

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=93974"">this link</a>",,POINT (-91.185063933236 30.413281476997)
Battle Of Baton Rouge (1779),"Historical Marker erected 1940 by Baton Rouge Chapter of the Daughters of the American Revolution

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.h*",,POINT (-91.184925936123 30.458347486547)
Southern University,"Historical Marker

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=87221"">this link</a>",,POINT (-91.179393937417 30.520708500366)
Pioneer Cabin,"Historical Marker No. 29 erected by LSU Rural Life Museum.

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=114085"">this *",,POINT (-91.114942024441 30.411255478737)
BREC's Bluebonnet Swamp Nature Center,"Historical Marker erected 2000 by Isaac Monet Chapter National Society of Colonial Dames XVII Century

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://w*",,POINT (-91.104910910372 30.369700469899)
Spanish Town,"Historical Marker

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=97968"">this link</a>",,POINT (-91.184769935721 30.452842485105)
Steve Van Buren,"Historical Marker erected by Pro Football Hall Of Fame Class of 1965

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=959*",,POINT (-91.183455933496 30.413288806535)
Bluebonnet Swamp,"Historical Marker erected by State of Louisiana and National Park Service.

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?mark*",,POINT (-91.104716610426 30.36941677991)
1993 National Champions,"Historical Marker erected by Tiger Athletic Foundation

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=97730"">this link<*",,POINT (-91.188133934554 30.405417474777)
The Louisiana State University,"Historical Marker erected 1990 by Foundation for Historical Louisiana

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=89*",,POINT (-91.178808932528 30.41449547756)
Chad Lavalais,"Historical Marker erected by Huey Taylor and the Kinchen Family

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=106262"">*",,POINT (-91.184819463954 30.411195646176)
Marcus Spears,"Historical Marker erected by Mr & Mrs Owen R. Seiler '79 & Family

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=106438*",,POINT (-91.184802023561 30.411190736362)
Distinguished Cadets,"Historical Marker

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=104675"">this link</a>",,POINT (-91.181982933166 30.410032476057)
Bayou Manchac,"Historical Marker erected 1979 by Department of Culture, Recreation and Tourism

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp*",,POINT (-90.993328878517 30.343192468815)
Old State Capitol,"Historical Marker erected by City of Baton Rouge

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=87892"">this link</a>",,POINT (-91.189055935872 30.447002483506)
"USS KIDD - ""DD 661""","Historical Marker erected by USS KIDD Veterans Memorial & Museum

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=85886"">*",,POINT (-91.191282606278 30.443737153012)
School For The Deaf,"Historical Marker erected by City Of Baton Rouge

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=96680"">this link</a>",,POINT (-91.185268935372 30.440798482517)
2003 National Champions,"Historical Marker erected by The Pascal Mark Culotta Family

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=98403"">this *",,POINT (-91.185097933801 30.411605476125)
Y.A. Title,"Historical Marker erected by Pro Football Hall of Fame Class of 1971

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=959*",,POINT (-91.183459932932 30.413281477094)
Louisiana State University & Surrounding Area,"Historical Marker

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=120266"">this link</a>",,POINT (-91.171929630151 30.407696435901)
1958 National Champions,"Historical Marker erected by Degueyters & That's the Bottom Line

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=98288"">*",,POINT (-91.185085933159 30.411585476903)
Land Grant College / Sea Grant College,"Historical Marker erected 1978 by National Oceanic and Atmospheric Administration

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.a*",,POINT (-91.178389931549 30.414561477346)
Fort Sumter Saloon,"Historical Marker erected by City of Baton Rouge

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=88273"">this link</a>",,POINT (-91.188357935889 30.450508484465)
Original Site of the First Methodist Church of Baton Rouge,"Historical Marker erected by City of Baton Rouge

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=88303"">this link</a>",,POINT (-91.187002935943 30.450550485049)
Single Pen Slave Cabin,"Historical Marker No. 43 erected by LSU Rural Life Museum

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=112055"">this l*",,POINT (-91.114868774505 30.410539748299)
Flag of the State of Louisiana,"Historical Marker

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=91068"">this link</a>",,POINT (-91.188592936459 30.445496483819)
Mississippi River,"Historical Marker erected by State of Louisiana and National Park Service.

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?mark*",,POINT (-91.197247612035 30.521333279809)
Potts House,"Historical Marker erected by City of Baton Rouge

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=87278"">this link</a>",,POINT (-91.181366934633 30.45275848555)
Will Blackwell,"Historical Marker erected by Gaspard Consultant, Inc.

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=107665"">this link<*",,POINT (-91.184796663417 30.411167836239)
The Mississippi River,"Historical Marker No. 3

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=88295"">this link</a>",,POINT (-91.189958936561 30.454806485604)
Old State Capitol,"Historical Marker erected by Downtown Development District

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=117121"">this *",,POINT (-91.189198546786 30.447043403962)
Troy H. Middleton,"Historical Marker

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=85651"">this link</a>",,POINT (-91.179848932563 30.414176477661)
Old Arsenal,"Historical Marker No. 7

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=113861"">this link</a>",,POINT (-91.185028935265 30.457280486317)
Cemetery,"Historical Marker No. 26 erected by LSU Rural Life Museum.

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=114086"">this *",,POINT (-91.114416594125 30.411146009013)
Overseer's House,"Historical Marker No. 16 erected by LSU Rural Life Museum

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=112647"">this l*",,POINT (-91.115531274393 30.410529928824)
Battle of Baton Rouge,"Historical Marker erected 1909 by The Louisiana Society of the Daughters of the Revolution

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org*",,POINT (-91.188806375855 30.446749243659)
Flag of England,"Historical Marker

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=91063"">this link</a>",,POINT (-91.188604936474 30.445629483323)
Capitol Building,"Historical Marker No. 5

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=88738"">this link</a>",,POINT (-91.187910936195 30.456699486208)
Billy Cannon,"Historical Marker erected by Terren, Maria, Graham, Reece, Will Klein

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=10*",,POINT (-91.18524293407 30.41211747625)
William Bartram Trail,"Historical Marker erected by John James Audubon Foundation by Mrs. C.B. Hamilton Baton Rouge Garden Club Inc, LA Garden Club Foundation, Deep South Region, National Council of State Garden Clubs Inc",,POINT (-91.106496253837 30.443653256203)
The Old Governor's Mansion,"Historical Marker

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=98053"">this link</a>",,POINT (-91.188087936923 30.459694486312)
