CEMETERY NAME,ADDRESS ID,OWNERSHIP,SHAPE AREA,SHAPE LENGTH,GEOMETRY
LOUISIANA NATIONAL CEMETERY,183931,PUBLIC,569694,3291,"MULTIPOLYGON (((-91.252342468078 30.640431672715, -91.25404727402 30.6407435059, -91.25481748691 30.639131476882, -91.256762760212 30.639278187473, -91.256702600039 30.646782177498, -91.256081358126 30.646777729571, -91.25407647112 30.646763355246, -91.252536854981 30.646752296156, -91.251427705558 30.646744318031, -91.249480078305 30.646730286261, -91.249433446765 30.646672031462, -91.252342468078 30.640431672715)))"
MAGNOLIA CEMETERY,81290,PUBLIC,87091,1199,"MULTIPOLYGON (((-91.169301677661 30.45190267889, -91.166143007904 30.451976067067, -91.166060861447 30.450072113785, -91.169221109312 30.449975830358, -91.169301677661 30.45190267889)))"
HOPE BENEVOLENT SOCIETY CEMETERY,97387,PUBLIC,12488,687,"MULTIPOLYGON (((-91.153155191825 30.502966933995, -91.154740851566 30.503324876526, -91.154425444678 30.503330043391, -91.154110037757 30.503335209504, -91.153021651968 30.50335429008, -91.152000342118 30.503385107586, -91.152233596461 30.502708527489, -91.153155191825 30.502966933995)))"
RICHARDS GARDENS OF MEMORY CEMETERY,175088,PRIVATE,5102,285,"MULTIPOLYGON (((-90.988030578671 30.348827567146, -90.987995724378 30.348850215445, -90.987498025328 30.349173617851, -90.987366531637 30.349024504431, -90.98721047009 30.348850138128, -90.987131110204 30.348748210699, -90.987655061079 30.34840114228, -90.988030578671 30.348827567146)))"
HIGHLAND CEMETERY,131675,PRIVATE,2648,228,"MULTIPOLYGON (((-91.172472604875 30.404777701523, -91.172346750729 30.404987699992, -91.17225527801 30.405136921641, -91.172132537311 30.405080899039, -91.171996044158 30.405018599188, -91.171922239265 30.404987906457, -91.172024230297 30.404846182341, -91.172114684489 30.404720489113, -91.171993209219 30.404620724879, -91.17212848517 30.404495087971, -91.172472604875 30.404777701523)))"
BLACKWATER UMC CEMETERY,202547,PRIVATE,20097,578,"MULTIPOLYGON (((-91.086762456407 30.542012805791, -91.088032600806 30.54194949039, -91.088068312668 30.542325340721, -91.088088526792 30.542538054629, -91.087886335057 30.542663605798, -91.087991765162 30.542878762566, -91.087079471045 30.543376432809, -91.086965808344 30.54311353916, -91.086955441043 30.54309121387, -91.086901449267 30.542973768752, -91.086858743942 30.542863600745, -91.086825951693 30.542761867345, -91.08680064441 30.542665981458, -91.086778927572 30.542560818307, -91.08676329132 30.542455014288, -91.086753481329 30.542344385203, -91.086750275682 30.542238730615, -91.08675295591 30.542135276274, -91.086762456407 30.542012805791)))"
CEMETERY,60012,PRIVATE,13828,613,"MULTIPOLYGON (((-91.040372531802 30.707886964158, -91.040868870712 30.707881740207, -91.04088194116 30.708744199196, -91.041032669388 30.70882497969, -91.041051701676 30.709750570201, -91.040482737188 30.709759303473, -91.04045731911 30.70883148898, -91.040455060076 30.708749028521, -91.040444326845 30.70848428999, -91.040444048542 30.708478571959, -91.040443762419 30.708472854217, -91.040443468475 30.70846713677, -91.040443166711 30.708461419628, -91.040442857128 30.708455702798, -91.040442539726 30.708449986288, -91.040442214505 30.708444270106, -91.040441881467 30.70843855426, -91.040441540611 30.708432838758, -91.040441191937 30.708427123608, -91.040440835448 30.708421408819, -91.040440471142 30.708415694397, -91.04044009902 30.708409980351, -91.040439719084 30.708404266689, -91.040439331332 30.70839855342, -91.040438935767 30.70839284055, -91.040438532389 30.708387128088, -91.040438121197 30.708381416042, -91.040437702193 30.70837570442, -91.040437275378 30.708369993229, -91.040436840751 30.708364282479, -91.040436398314 30.708358572176, -91.040435948067 30.708352862329, -91.040435490011 30.708347152946, -91.040435024146 30.708341444034, -91.040434550473 30.708335735603, -91.040434068993 30.708330027659, -91.040433579706 30.70832432021, -91.040433082613 30.708318613265, -91.040432577715 30.708312906832, -91.040432065013 30.708307200918, -91.040431544506 30.708301495532, -91.040431016197 30.708295790681, -91.040430480085 30.708290086374, -91.040429936171 30.708284382618, -91.040429384457 30.708278679422, -91.040428824943 30.708272976793, -91.040428257629 30.708267274739, -91.040427682517 30.708261573269, -91.040427099607 30.70825587239, -91.0404265089 30.70825017211, -91.040425910397 30.708244472437, -91.040425304099 30.708238773379, -91.040424690007 30.708233074944, -91.040424068121 30.708227377141, -91.040423438442 30.708221679976, -91.040422800972 30.708215983459, -91.040422155711 30.708210287596, -91.040421502659 30.708204592397, -91.040420841819 30.708198897868, -91.040420173191 30.708193204018, -91.040419496775 30.708187510854, -91.040418812574 30.708181818386, -91.040418120586 30.70817612662, -91.040417420815 30.708170435564, -91.04041671326 30.708164745227, -91.040415997923 30.708159055617, -91.040415274805 30.708153366741, -91.040414543906 30.708147678607, -91.040413805228 30.708141991224, -91.040413058771 30.708136304599, -91.040412304538 30.70813061874, -91.040411542528 30.708124933655, -91.040410772743 30.708119249353, -91.040409995184 30.70811356584, -91.040409209852 30.708107883126, -91.040408416748 30.708102201217, -91.040407615874 30.708096520122, -91.040406807229 30.708090839849, -91.040405990817 30.708085160406, -91.040405166637 30.7080794818, -91.04040433469 30.70807380404, -91.040403494979 30.708068127134, -91.040402647504 30.708062451088, -91.040401792266 30.708056775913, -91.040400929266 30.708051101614, -91.040400058507 30.708045428201, -91.040399179988 30.708039755681, -91.040398293712 30.708034084061, -91.040397399678 30.708028413351, -91.04039649789 30.708022743558, -91.040395588347 30.70801707469, -91.040394671052 30.708011406754, -91.040393746005 30.708005739759, -91.040392813208 30.708000073712, -91.040391872662 30.707994408622, -91.040390924368 30.707988744497, -91.040389968328 30.707983081343, -91.040389004543 30.70797741917, -91.040388033014 30.707971757985, -91.040387053744 30.707966097796, -91.040386066732 30.707960438611, -91.040385071981 30.707954780438, -91.040384069491 30.707949123285, -91.040383059265 30.707943467159, -91.040382041304 30.707937812069, -91.040381015609 30.707932158022, -91.040379982181 30.707926505026, -91.040378941022 30.70792085309, -91.040377892134 30.707915202221, -91.040376835518 30.707909552427, -91.040375771175 30.707903903716, -91.040374699107 30.707898256095, -91.040373619315 30.707892609574, -91.040372531802 30.707886964158)))"
TUCKER CEMETERY,201849,PRIVATE,6105,360,"MULTIPOLYGON (((-91.073227857341 30.641235422822, -91.073380447804 30.641314959703, -91.073486119557 30.641368141963, -91.073564892803 30.641404442337, -91.073604533399 30.641422022022, -91.073372243024 30.642365414541, -91.072965000086 30.642302935523, -91.073227857341 30.641235422822)))"
LIBERAL CEMETERY,153416,PUBLIC,16710,737,"MULTIPOLYGON (((-91.078989583045 30.458296429829, -91.078513517943 30.458299197917, -91.078507588321 30.45762943321, -91.078503713045 30.45719178248, -91.078500494074 30.45682819675, -91.078492228031 30.45589452732, -91.07896762938 30.455818067769, -91.078975801702 30.456740679785, -91.078987894169 30.458105823459, -91.078989583045 30.458296429829)))"
CEMETERY,201954,PRIVATE,4214,265,"MULTIPOLYGON (((-91.048401674129 30.575645397617, -91.049112072943 30.575553294551, -91.049117156948 30.576011282912, -91.048428533821 30.576022225317, -91.048401674129 30.575645397617)))"
